título,años,reparto,ranking,valoración,votaciones
Atrapado en el tiempo,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell",224,8.03,632728
Los mejores años de nuestra vida,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews",225,8.03,65347
El exorcista,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow",226,8.03,409968
Ser o no ser,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",227,8.03,38065
Los Increíbles,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson",228,8.03,738382
La batalla de Argel,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin",229,8.02,60879
Jai Bhim,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose",230,8.02,202179
Siempre a tu lado (Hachiko),2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen",231,8.02,286513
El odio,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",232,8.02,175240
Mi padre y mi hijo,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",233,8.02,87312
Piratas del Caribe: La maldición de la Perla Negra,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",234,8.02,1127217
Las uvas de la ira,1940,"John Ford (dir.), Henry Fonda, Jane Darwell",235,8.02,94084
Rebeca,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine",236,8.02,138264
Amores perros,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",237,8.02,241660
La leyenda del indomable,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",238,8.02,178457
Los cuatrocientos golpes,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",239,8.02,119065
La doncella,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",240,8.01,148883
Sonrisas y lágrimas,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",241,8.01,236292
Sucedió una noche,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert",242,8.01,104958
Persona,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",243,8.01,119933
La vida de Brian,1979,"Terry Jones (dir.), Graham Chapman, John Cleese",244,8.01,401211
Dersu Uzala (El cazador),1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",245,8.01,30363
El gigante de hierro,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr.",246,8.01,199894
Aladdín,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams",247,8.0,421599
Criadas y señoras,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone",248,8.0,460671
Gandhi,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",249,8.0,232798
Todo a la vez en todas partes,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu",250,8.0,256782
